gene_symbol	ensgid_version	ensgid	enstid_version	biotype	u5_len	u5_AUG	u5_ORF	u5_max_kozak	u5_GC	u3_len	u3_AUG	u3_ORF	u3_max_kozak	u3_GC	u5_oORF	u3_oORF
COPS4	ENSG00000138663.9	ENSG00000138663	ENST00000264389.7	protein_coding	42	0	0		0.690476190476191	388	11	10	1	0.335051546391753	4	5
PRKG2	ENSG00000138669.10	ENSG00000138669	ENST00000264399.6	protein_coding	300	0	0		0.76	2333	44	40	3	0.339905700814402	0	13
RASGEF1B	ENSG00000138670.18	ENSG00000138670	ENST00000264400.7	protein_coding	144	0	0		0.555555555555556	1375	28	21	2	0.396363636363636	3	5
GPAT3	ENSG00000138678.11	ENSG00000138678	ENST00000264409.5	protein_coding	515	0	0		0.679611650485437	1108	28	21	1	0.361913357400722	0	11
CUL3	ENSG00000036257.13	ENSG00000036257	ENST00000264414.9	protein_coding	354	2	0		0.788135593220339	4095	97	95	1	0.32967032967033	1	15
GUCY1B1	ENSG00000061918.14	ENSG00000061918	ENST00000264424.13	protein_coding	120	1	0		0.741666666666667	1402	34	28	3	0.318830242510699	4	16
GRIA2	ENSG00000120251.21	ENSG00000120251	ENST00000264426.14	protein_coding	315	3	1	2	0.507936507936508	2644	65	49	2	0.303328290468986	2	28
GLRB	ENSG00000109738.11	ENSG00000109738	ENST00000264428.9	protein_coding	177	0	0		0.700564971751413	1362	25	19	1	0.273127753303965	0	13
FNIP2	ENSG00000052795.13	ENSG00000052795	ENST00000264433.11	protein_coding	187	2	0		0.812834224598931	3506	64	56	2	0.352538505419281	5	22
C2orf42	ENSG00000115998.8	ENSG00000115998	ENST00000264434.7	protein_coding	328	5	2	2	0.442073170731707	471	6	3	2	0.392781316348195	0	5
ADD2	ENSG00000075340.23	ENSG00000075340	ENST00000264436.9	protein_coding	468	5	2	3	0.60042735042735	6641	129	122	1	0.458364704110827	0	13
MXD1	ENSG00000059728.11	ENSG00000059728	ENST00000264444.7	protein_coding	222	0	0		0.725225225225225	4661	69	61	2	0.396910534220124	1	9
ZNF638	ENSG00000075292.19	ENSG00000075292	ENST00000264447.9	protein_coding	296	3	3	2	0.493243243243243	254	6	3	1	0.303149606299213	5	1
SLC30A9	ENSG00000014824.14	ENSG00000014824	ENST00000264451.12	protein_coding	122	2	1	1	0.655737704918033	4335	81	75	2	0.369780853517878	2	7
SEC22C	ENSG00000093183.14	ENSG00000093183	ENST00000264454.8	protein_coding	149	1	0		0.697986577181208	5279	101	95	1	0.42583822693692	1	0
CDH10	ENSG00000040731.10	ENSG00000040731	ENST00000264463.8	protein_coding	508	6	3	2	0.425196850393701	563	14	8	1	0.307282415630551	3	6
CSTA	ENSG00000121552.4	ENSG00000121552	ENST00000264474.4	protein_coding	45	0	0		0.466666666666667	402	4	2	2	0.36318407960199	0	1
SLC4A4	ENSG00000080493.18	ENSG00000080493	ENST00000264485.11	protein_coding	144	0	0		0.791666666666667	4332	93	87	2	0.339566020313943	5	34
BBS7	ENSG00000138686.10	ENSG00000138686	ENST00000264499.9	protein_coding	161	0	0		0.695652173913044	1531	35	33	1	0.294578706727629	3	11
RBBP5	ENSG00000117222.14	ENSG00000117222	ENST00000264515.11	protein_coding	105	0	0		0.666666666666667	2645	35	31	2	0.408695652173913	0	7
IFT57	ENSG00000114446.5	ENSG00000114446	ENST00000264538.4	protein_coding	102	0	0		0.696078431372549	1665	45	38	1	0.346546546546547	0	8
UBE2S	ENSG00000108106.14	ENSG00000108106	ENST00000264552.14	protein_coding	199	0	0		0.819095477386935	1691	16	16	3	0.492607924305145	0	3
GZMM	ENSG00000197540.8	ENSG00000197540	ENST00000264553.6	protein_coding	19	0	0		0.68421052631579	131	2	0		0.618320610687023	1	1
SHC2	ENSG00000129946.11	ENSG00000129946	ENST00000264554.11	protein_coding	37	0	0		0.891891891891892	739	7	1	3	0.635994587280108	0	4
PHRF1	ENSG00000070047.13	ENSG00000070047	ENST00000264555.10	protein_coding	144	1	0		0.736111111111111	445	7	6	2	0.532584269662921	2	5
IL11	ENSG00000095752.7	ENSG00000095752	ENST00000264563.7	protein_coding	153	1	0		0.758169934640523	1625	26	16	1	0.495384615384615	1	0
AGA	ENSG00000038002.9	ENSG00000038002	ENST00000264595.7	protein_coding	62	0	0		0.612903225806452	934	22	17	1	0.317987152034261	2	0
NEIL3	ENSG00000109674.4	ENSG00000109674	ENST00000264596.4	protein_coding	80	0	0		0.65	465	11	8	2	0.298924731182796	0	16
RAB17	ENSG00000124839.13	ENSG00000124839	ENST00000264601.8	protein_coding	271	1	0		0.608856088560886	693	15	1	3	0.572871572871573	0	4
MLPH	ENSG00000115648.14	ENSG00000115648	ENST00000264605.8	protein_coding	211	0	0		0.696682464454976	1730	29	24	1	0.480346820809249	0	7
ASB1	ENSG00000065802.12	ENSG00000065802	ENST00000264607.9	protein_coding	144	0	0		0.784722222222222	5739	107	100	2	0.506359993030145	0	1
CP	ENSG00000047457.14	ENSG00000047457	ENST00000264613.11	protein_coding	37	0	0		0.405405405405405	1217	35	29	1	0.324568611339359	1	23
WNT5A	ENSG00000114251.15	ENSG00000114251	ENST00000264634.9	protein_coding	321	0	0		0.753894080996885	4377	87	79	3	0.347498286497601	0	2
CNTNAP1	ENSG00000108797.12	ENSG00000108797	ENST00000264638.9	protein_coding	299	0	0		0.625418060200669	1083	11	7	2	0.520775623268698	7	21
PSMD3	ENSG00000108344.15	ENSG00000108344	ENST00000264639.9	protein_coding	164	0	0		0.731707317073171	378	5	0		0.592592592592593	0	1
CASC3	ENSG00000108349.17	ENSG00000108349	ENST00000264645.12	protein_coding	12	0	0		0.5	1766	20	19	1	0.455266138165345	2	13
KRT24	ENSG00000167916.5	ENSG00000167916	ENST00000264651.3	protein_coding	59	1	0		0.525423728813559	246	5	4	3	0.333333333333333	1	3
STAT3	ENSG00000168610.16	ENSG00000168610	ENST00000264657.10	protein_coding	187	0	0		0.705882352941177	2421	28	28	2	0.472945064023131	4	17
FBXL20	ENSG00000108306.13	ENSG00000108306	ENST00000264658.11	protein_coding	224	0	0		0.776785714285714	8797	147	142	1	0.427077412754348	0	3
KCNH4	ENSG00000089558.9	ENSG00000089558	ENST00000264661.4	protein_coding	197	1	0		0.766497461928934	537	5	4	1	0.579143389199255	1	16
FGF10	ENSG00000070193.5	ENSG00000070193	ENST00000264664.5	protein_coding	738	5	0		0.546070460704607	4748	91	89	1	0.351727042965459	0	11
FASTKD3	ENSG00000124279.12	ENSG00000124279	ENST00000264669.10	protein_coding	166	5	0		0.41566265060241	276	8	5	3	0.264492753623188	8	7
NSUN2	ENSG00000037474.15	ENSG00000037474	ENST00000264670.11	protein_coding	65	0	0		0.723076923076923	687	9	4	1	0.387190684133916	0	26
UFSP2	ENSG00000109775.11	ENSG00000109775	ENST00000264689.11	protein_coding	96	0	0		0.75	855	17	8	2	0.355555555555556	10	8
KLKB1	ENSG00000164344.16	ENSG00000164344	ENST00000264690.11	protein_coding	82	0	0		0.402439024390244	259	5	0		0.49034749034749	1	1
FNDC4	ENSG00000115226.10	ENSG00000115226	ENST00000264703.4	protein_coding	347	3	1	3	0.792507204610951	560	9	7	2	0.539285714285714	0	6
CAD	ENSG00000084774.14	ENSG00000084774	ENST00000264705.9	protein_coding	183	0	0		0.704918032786885	425	4	2	3	0.531764705882353	11	52
RAB10	ENSG00000084733.11	ENSG00000084733	ENST00000264710.5	protein_coding	525	1	1	2	0.700952380952381	2433	42	39	2	0.345663789560214	0	6
DNAJC27	ENSG00000115137.12	ENSG00000115137	ENST00000264711.7	protein_coding	51	0	0		0.705882352941177	3974	57	52	1	0.401358832410669	5	10
KIF3C	ENSG00000084731.15	ENSG00000084731	ENST00000264712.8	protein_coding	580	5	4	2	0.679310344827586	2380	29	21	3	0.492436974789916	0	32
FOSL2	ENSG00000075426.12	ENSG00000075426	ENST00000264716.9	protein_coding	863	0	0		0.684820393974508	4869	60	58	3	0.48675292667899	0	0
GCKR	ENSG00000084734.9	ENSG00000084734	ENST00000264717.7	protein_coding	66	0	0		0.560606060606061	245	4	1	1	0.518367346938776	2	6
CSPG5	ENSG00000114646.10	ENSG00000114646	ENST00000264723.9	protein_coding	172	1	0		0.848837209302326	362	3	0		0.353591160220994	0	9
TP63	ENSG00000073282.14	ENSG00000073282	ENST00000264731.8	protein_coding	127	2	1	1	0.338582677165354	2774	60	49	2	0.35436193222783	3	24
CLDN16	ENSG00000113946.4	ENSG00000113946	ENST00000264734.3	protein_coding	167	2	0		0.51497005988024	2102	38	27	1	0.325404376784015	1	7
PLAAT1	ENSG00000127252.7	ENSG00000127252	ENST00000264735.4	protein_coding	312	2	0		0.740384615384615	150	3	0		0.34	2	0
ITGA9	ENSG00000144668.12	ENSG00000144668	ENST00000264741.10	protein_coding	234	0	0		0.816239316239316	4518	112	104	1	0.440239043824701	5	24
TMEM175	ENSG00000127419.17	ENSG00000127419	ENST00000264771.9	protein_coding	112	0	0		0.723214285714286	160	3	0		0.55	1	5
SLC2A9	ENSG00000109667.12	ENSG00000109667	ENST00000264784.8	protein_coding	68	1	0		0.602941176470588	173	5	0		0.30635838150289	2	0
MMRN1	ENSG00000138722.10	ENSG00000138722	ENST00000264790.7	protein_coding	118	1	0		0.415254237288136	1196	26	21	2	0.304347826086957	2	26
PRDM5	ENSG00000138738.11	ENSG00000138738	ENST00000264808.8	protein_coding	118	1	0		0.669491525423729	3196	67	57	2	0.32540675844806	2	11
MIER2	ENSG00000105556.12	ENSG00000105556	ENST00000264819.7	protein_coding	14	0	0		0.785714285714286	1117	3	1	3	0.670546105640107	0	10
LYL1	ENSG00000104903.5	ENSG00000104903	ENST00000264824.5	protein_coding	352	0	0		0.715909090909091	286	2	1	3	0.63986013986014	1	0
COL5A3	ENSG00000080573.7	ENSG00000080573	ENST00000264828.4	protein_coding	119	0	0		0.773109243697479	850	16	10	2	0.567058823529412	2	8
ICAM1	ENSG00000090339.9	ENSG00000090339	ENST00000264832.8	protein_coding	40	0	0		0.575	1328	27	27	1	0.503765060240964	3	4
OLFM2	ENSG00000105088.9	ENSG00000105088	ENST00000264833.9	protein_coding	149	0	0		0.87248322147651	468	6	0		0.495726495726496	0	1
KLF1	ENSG00000105610.6	ENSG00000105610	ENST00000264834.6	protein_coding	61	0	0		0.672131147540984	463	9	3	2	0.548596112311015	3	1
C3orf52	ENSG00000114529.13	ENSG00000114529	ENST00000264848.10	protein_coding	19	0	0		0.631578947368421	1564	20	13	3	0.430306905370844	1	9
SIDT1	ENSG00000072858.11	ENSG00000072858	ENST00000264852.9	protein_coding	467	4	1	1	0.586723768736617	1867	26	18	1	0.471344402785217	0	25
PI4K2B	ENSG00000038210.14	ENSG00000038210	ENST00000264864.8	protein_coding	131	1	0		0.679389312977099	2017	42	38	1	0.29747149231532	2	5
TBC1D19	ENSG00000109680.11	ENSG00000109680	ENST00000264866.9	protein_coding	110	0	0		0.690909090909091	1276	25	20	2	0.329937304075235	3	5
PPARGC1A	ENSG00000109819.9	ENSG00000109819	ENST00000264867.7	protein_coding	90	1	0		0.522222222222222	3801	102	91	1	0.359905288082084	0	8
F13A1	ENSG00000124491.16	ENSG00000124491	ENST00000264870.8	protein_coding	94	0	0		0.617021276595745	1535	27	25	1	0.404560260586319	0	18
NUP54	ENSG00000138750.15	ENSG00000138750	ENST00000264883.8	protein_coding	23	0	0		0.565217391304348	702	11	2	2	0.286324786324786	0	2
CXCL9	ENSG00000138755.6	ENSG00000138755	ENST00000264888.6	protein_coding	60	0	0		0.383333333333333	2323	40	37	2	0.399052948773138	1	5
SEPTIN11	ENSG00000138758.12	ENSG00000138758	ENST00000264893.11	protein_coding	152	1	1	1	0.763157894736842	4103	80	79	2	0.388496222276383	0	4
SCARB2	ENSG00000138760.11	ENSG00000138760	ENST00000264896.8	protein_coding	281	0	0		0.772241992882562	2976	65	58	2	0.375	0	14
ANXA3	ENSG00000138772.13	ENSG00000138772	ENST00000264908.11	protein_coding	128	0	0		0.5859375	332	4	2	3	0.30421686746988	0	0
ARSB	ENSG00000113273.17	ENSG00000113273	ENST00000264914.10	protein_coding	62	0	0		0.67741935483871	3188	53	49	1	0.43099121706399	2	9
PDE8B	ENSG00000113231.14	ENSG00000113231	ENST00000264917.10	protein_coding	246	2	0		0.813008130081301	1702	43	31	1	0.361339600470035	15	13
RAD18	ENSG00000070950.10	ENSG00000070950	ENST00000264926.7	protein_coding	87	1	1	2	0.655172413793103	4282	100	94	1	0.410555815039701	0	4
SLC12A7	ENSG00000113504.21	ENSG00000113504	ENST00000264930.10	protein_coding	72	0	0		0.833333333333333	1976	20	18	2	0.584008097165992	0	35
SDHA	ENSG00000073578.17	ENSG00000073578	ENST00000264932.11	protein_coding	36	0	0		0.722222222222222	662	10	10	2	0.416918429003021	1	19
PDCD6	ENSG00000249915.8	ENSG00000249915	ENST00000264933.9	protein_coding	75	0	0		0.72	459	17	9	3	0.387799564270153	1	4
CEP72	ENSG00000112877.8	ENSG00000112877	ENST00000264935.6	protein_coding	22	0	0		0.590909090909091	400	9	0		0.365	0	10
SLC9A3	ENSG00000066230.12	ENSG00000066230	ENST00000264938.8	protein_coding	127	1	0		0.795275590551181	2923	18	15	3	0.593910366062265	1	18
GRPEL1	ENSG00000109519.13	ENSG00000109519	ENST00000264954.5	protein_coding	32	0	0		0.75	1967	35	33	2	0.432638535841383	1	3
EVC	ENSG00000072840.13	ENSG00000072840	ENST00000264956.11	protein_coding	180	1	0		0.772222222222222	3268	46	27	2	0.552325581395349	13	20
LMAN2L	ENSG00000114988.12	ENSG00000114988	ENST00000264963.9	protein_coding	24	1	0		0.541666666666667	1327	29	25	1	0.487565938206481	0	1
ZAP70	ENSG00000115085.14	ENSG00000115085	ENST00000264972.10	protein_coding	199	0	0		0.648241206030151	362	1	0		0.668508287292818	0	16
PPP2R3A	ENSG00000073711.11	ENSG00000073711	ENST00000264977.8	protein_coding	562	8	4	2	0.400355871886121	2728	44	36	2	0.363636363636364	4	33
CEP70	ENSG00000114107.9	ENSG00000114107	ENST00000264982.8	protein_coding	171	5	0		0.497076023391813	671	8	6	2	0.333830104321908	3	10
ACAD11	ENSG00000240303.8	ENSG00000240303	ENST00000264990.11	protein_coding	58	1	0		0.655172413793103	830	4	4	2	0.420481927710843	0	14
ASTE1	ENSG00000034533.12	ENSG00000034533	ENST00000264992.8	protein_coding	465	3	3	2	0.539784946236559	182	1	1	1	0.285714285714286	0	4
CDV3	ENSG00000091527.16	ENSG00000091527	ENST00000264993.8	protein_coding	359	0	0		0.788300835654596	2215	45	29	3	0.392776523702032	0	1
MRPL3	ENSG00000114686.9	ENSG00000114686	ENST00000264995.8	protein_coding	150	0	0		0.673333333333333	511	7	4	1	0.317025440313112	0	2
GALNT7	ENSG00000109586.12	ENSG00000109586	ENST00000265000.9	protein_coding	25	0	0		0.68	2250	36	31	1	0.324888888888889	2	10
SOX30	ENSG00000039600.11	ENSG00000039600	ENST00000265007.11	protein_coding	360	3	1	2	0.591666666666667	661	16	14	2	0.270801815431165	1	14
BST1	ENSG00000109743.11	ENSG00000109743	ENST00000265016.9	protein_coding	80	0	0		0.5875	942	18	17	1	0.390658174097665	1	0
FAM184B	ENSG00000047662.5	ENSG00000047662	ENST00000265018.4	protein_coding	322	0	0		0.704968944099379	3226	62	54	2	0.395226286422815	0	24
DGKG	ENSG00000058866.15	ENSG00000058866	ENST00000265022.8	protein_coding	537	2	2	2	0.575418994413408	2889	48	44	2	0.460713049498096	0	21
MAP3K13	ENSG00000073803.14	ENSG00000073803	ENST00000265026.8	protein_coding	318	5	1	3	0.449685534591195	6638	126	118	2	0.420759264838807	0	21
DNAJB11	ENSG00000090520.12	ENSG00000090520	ENST00000265028.8	protein_coding	178	0	0		0.713483146067416	385	7	5	2	0.327272727272727	0	0
FETUB	ENSG00000090512.12	ENSG00000090512	ENST00000265029.8	protein_coding	62	0	0		0.580645161290323	510	14	7	3	0.484313725490196	0	3
DEPDC1B	ENSG00000035499.13	ENSG00000035499	ENST00000265036.10	protein_coding	73	0	0		0.726027397260274	841	20	13	2	0.286563614744352	3	10
SSR3	ENSG00000114850.7	ENSG00000114850	ENST00000265044.7	protein_coding	28	0	0		0.678571428571429	3650	63	61	2	0.381369863013699	3	4
MGLL	ENSG00000074416.15	ENSG00000074416	ENST00000265052.10	protein_coding	197	2	0		0.649746192893401	3132	50	41	1	0.556832694763729	0	0
MCM2	ENSG00000073111.14	ENSG00000073111	ENST00000265056.12	protein_coding	56	0	0		0.553571428571429	663	12	5	2	0.503770739064857	0	4
RAB7A	ENSG00000075785.14	ENSG00000075785	ENST00000265062.8	protein_coding	185	0	0		0.675675675675676	1376	20	17	3	0.425145348837209	0	0
ZFR	ENSG00000056097.16	ENSG00000056097	ENST00000265069.13	protein_coding	82	0	0		0.670731707317073	1410	30	21	1	0.312056737588653	0	24
GOLPH3	ENSG00000113384.14	ENSG00000113384	ENST00000265070.7	protein_coding	285	1	0		0.736842105263158	1496	27	18	3	0.345588235294118	0	3
CDH6	ENSG00000113361.13	ENSG00000113361	ENST00000265071.3	protein_coding	329	1	0		0.613981762917933	5838	104	98	2	0.358341897910243	1	11
SUB1	ENSG00000113387.12	ENSG00000113387	ENST00000265073.9	protein_coding	70	0	0		0.6	2995	67	57	1	0.318196994991653	1	9
NPR3	ENSG00000113389.16	ENSG00000113389	ENST00000265074.13	protein_coding	456	5	3	1	0.447368421052632	5375	115	104	1	0.375255813953488	0	6
VCAN	ENSG00000038427.16	ENSG00000038427	ENST00000265077.8	protein_coding	286	1	0		0.625874125874126	1868	51	47	3	0.346359743040685	6	5
RASGRF2	ENSG00000113319.13	ENSG00000113319	ENST00000265080.9	protein_coding	376	1	0		0.808510638297872	4392	90	84	2	0.407559198542805	8	26
MSH3	ENSG00000113318.11	ENSG00000113318	ENST00000265081.7	protein_coding	76	0	0		0.776315789473684	953	15	7	3	0.363064008394544	7	21
CPEB4	ENSG00000113742.14	ENSG00000113742	ENST00000265085.10	protein_coding	1385	9	8	1	0.469314079422383	5843	121	121	2	0.325004278623995	1	16
STC2	ENSG00000113739.11	ENSG00000113739	ENST00000265087.9	protein_coding	221	1	0		0.624434389140272	3124	35	33	1	0.463508322663252	0	5
THOC3	ENSG00000051596.10	ENSG00000051596	ENST00000265097.9	protein_coding	107	1	0		0.700934579439252	438	6	2	1	0.429223744292237	0	2
RPL26L1	ENSG00000037241.7	ENSG00000037241	ENST00000265100.6	protein_coding	54	0	0		0.666666666666667	230	4	1	2	0.330434782608696	0	4
DNAH5	ENSG00000039139.11	ENSG00000039139	ENST00000265104.5	protein_coding	250	5	2	1	0.436	1656	38	35	1	0.32487922705314	3	60
WDR70	ENSG00000082068.9	ENSG00000082068	ENST00000265107.9	protein_coding	50	0	0		0.66	862	16	15	1	0.327146171693736	0	13
RAI14	ENSG00000039560.14	ENSG00000039560	ENST00000265109.8	protein_coding	196	2	0		0.688775510204082	1847	38	38	2	0.399025446670276	2	29
TARS1	ENSG00000113407.14	ENSG00000113407	ENST00000265112.8	protein_coding	122	0	0		0.647540983606557	378	8	2	2	0.314814814814815	3	4
SLC1A3	ENSG00000079215.15	ENSG00000079215	ENST00000265113.9	protein_coding	225	1	1	1	0.475555555555556	2065	35	32	1	0.390799031476998	0	14
AMBP	ENSG00000106927.12	ENSG00000106927	ENST00000265132.8	protein_coding	91	0	0		0.604395604395604	112	1	0		0.535714285714286	9	0
COBL	ENSG00000106078.19	ENSG00000106078	ENST00000265136.12	protein_coding	176	2	1	3	0.755681818181818	1339	35	34	1	0.43091859596714	7	16
ARRDC3	ENSG00000113369.9	ENSG00000113369	ENST00000265138.4	protein_coding	225	2	1	1	0.395555555555556	2769	54	50	1	0.340195016251354	1	3
SLF1	ENSG00000133302.13	ENSG00000133302	ENST00000265140.10	protein_coding	97	0	0		0.670103092783505	2309	47	42	1	0.303161541792984	0	29
CENPE	ENSG00000138778.13	ENSG00000138778	ENST00000265148.9	protein_coding	24	0	0		0.583333333333333	411	12	9	2	0.284671532846715	12	72
ENPEP	ENSG00000138792.10	ENSG00000138792	ENST00000265162.10	protein_coding	260	1	0		0.480769230769231	3727	70	66	1	0.335927019050174	4	18
CASP6	ENSG00000138794.10	ENSG00000138794	ENST00000265164.7	protein_coding	50	0	0		0.62	702	14	8	3	0.384615384615385	7	0
LEF1	ENSG00000138795.10	ENSG00000138795	ENST00000265165.6	protein_coding	1165	1	1	1	0.662660944206009	1210	16	12	3	0.391735537190083	0	3
EGF	ENSG00000138798.13	ENSG00000138798	ENST00000265171.10	protein_coding	453	2	0		0.461368653421634	2311	41	38	2	0.357853742968412	1	51
PAPSS1	ENSG00000138801.9	ENSG00000138801	ENST00000265174.5	protein_coding	55	0	0		0.727272727272727	583	8	6	2	0.320754716981132	4	18
SEC24B	ENSG00000138802.11	ENSG00000138802	ENST00000265175.5	protein_coding	55	0	0		0.763636363636364	1221	34	34	2	0.362817362817363	0	28
NME5	ENSG00000112981.5	ENSG00000112981	ENST00000265191.4	protein_coding	63	1	0		0.555555555555556	506	15	12	2	0.288537549407115	5	7
PAIP2	ENSG00000120727.13	ENSG00000120727	ENST00000265192.9	protein_coding	153	0	0		0.640522875816993	919	16	13	1	0.343852013057671	0	11
ANKRD7	ENSG00000106013.15	ENSG00000106013	ENST00000265224.9	protein_coding	127	1	1	1	0.62992125984252	421	9	3	2	0.282660332541568	0	7
IQCG	ENSG00000114473.14	ENSG00000114473	ENST00000265239.11	protein_coding	397	5	1	1	0.443324937027708	503	6	3	2	0.393638170974155	1	4
LSG1	ENSG00000041802.11	ENSG00000041802	ENST00000265245.10	protein_coding	29	0	0		0.655172413793103	1277	24	18	2	0.48159749412686	0	15
PCNP	ENSG00000081154.12	ENSG00000081154	ENST00000265260.8	protein_coding	36	0	0		0.75	1712	32	29	1	0.304906542056075	0	9
RBM27	ENSG00000091009.8	ENSG00000091009	ENST00000265271.7	protein_coding	161	1	1	2	0.683229813664596	3193	69	58	1	0.321014719699342	3	29
WWC1	ENSG00000113645.15	ENSG00000113645	ENST00000265293.9	protein_coding	508	4	1	2	0.791338582677165	3286	54	48	1	0.476262933657943	2	19
GABRP	ENSG00000094755.17	ENSG00000094755	ENST00000265294.9	protein_coding	192	1	0		0.578125	1789	42	36	1	0.383454443823365	0	6
SPDL1	ENSG00000040275.17	ENSG00000040275	ENST00000265295.9	protein_coding	140	2	1	2	0.571428571428571	571	18	12	3	0.309982486865149	1	13
MINDY4	ENSG00000106125.14	ENSG00000106125	ENST00000265299.6	protein_coding	77	0	0		0.714285714285714	382	7	3	1	0.583769633507853	5	8
SSBP1	ENSG00000106028.11	ENSG00000106028	ENST00000265304.11	protein_coding	96	0	0		0.510416666666667	134	4	0		0.32089552238806	0	3
TRPV5	ENSG00000127412.7	ENSG00000127412	ENST00000265310.6	protein_coding	287	4	2	1	0.51219512195122	413	9	9	1	0.506053268765133	2	19
ABCB6	ENSG00000115657.14	ENSG00000115657	ENST00000265316.9	protein_coding	285	1	0		0.743859649122807	166	4	0		0.445783132530121	0	12
PECR	ENSG00000115425.14	ENSG00000115425	ENST00000265322.8	protein_coding	68	1	0		0.705882352941177	887	18	12	2	0.350620067643743	0	4
VDAC1	ENSG00000213585.11	ENSG00000213585	ENST00000265333.8	protein_coding	87	0	0		0.747126436781609	900	21	19	1	0.377777777777778	0	3
CDKL3	ENSG00000006837.12	ENSG00000006837	ENST00000265334.9	protein_coding	216	2	1	3	0.597222222222222	227	5	0		0.330396475770925	0	19
UBE2B	ENSG00000119048.8	ENSG00000119048	ENST00000265339.7	protein_coding	27	0	0		0.740740740740741	1755	29	29	1	0.344159544159544	1	4
PITX1	ENSG00000069011.16	ENSG00000069011	ENST00000265340.12	protein_coding	347	1	1	2	0.798270893371758	1045	6	5	3	0.667942583732057	0	0
FSTL4	ENSG00000053108.17	ENSG00000053108	ENST00000265342.12	protein_coding	227	0	0		0.73568281938326	2640	36	33	2	0.492424242424242	4	13
AFF4	ENSG00000072364.13	ENSG00000072364	ENST00000265343.10	protein_coding	380	3	1	3	0.739473684210526	5664	131	127	2	0.357168079096045	8	17
CUL7	ENSG00000044090.12	ENSG00000044090	ENST00000265348.9	protein_coding	238	0	0		0.73109243697479	71	0	0		0.436619718309859	11	44
MED20	ENSG00000124641.16	ENSG00000124641	ENST00000265350.9	protein_coding	121	0	0		0.56198347107438	1718	32	27	1	0.438300349243306	0	10
XPO5	ENSG00000124571.18	ENSG00000124571	ENST00000265351.12	protein_coding	174	0	0		0.729885057471264	1534	16	15	1	0.486962190352021	3	49
SRF	ENSG00000112658.8	ENSG00000112658	ENST00000265354.6	protein_coding	388	2	1	2	0.757731958762887	2316	37	26	2	0.553972366148532	0	9
SEMA3C	ENSG00000075223.14	ENSG00000075223	ENST00000265361.8	protein_coding	262	1	0		0.492366412213741	2356	65	62	1	0.287351443123939	1	13
SEMA3A	ENSG00000075213.11	ENSG00000075213	ENST00000265362.9	protein_coding	203	3	0		0.448275862068966	5594	141	139	1	0.33410797282803	1	25
APBA1	ENSG00000107282.8	ENSG00000107282	ENST00000265381.7	protein_coding	288	2	1	3	0.729166666666667	3795	48	41	2	0.495652173913044	0	23
PIP5K1B	ENSG00000107242.20	ENSG00000107242	ENST00000265382.8	protein_coding	765	5	1	1	0.675816993464052	727	15	15	3	0.330123796423659	2	13
TNPO3	ENSG00000064419.14	ENSG00000064419	ENST00000265388.10	protein_coding	341	1	0		0.574780058651026	1232	19	12	2	0.441558441558442	1	22
CPVL	ENSG00000106066.15	ENSG00000106066	ENST00000265394.10	protein_coding	119	0	0		0.680672268907563	537	14	12	2	0.290502793296089	0	10
HIBADH	ENSG00000106049.9	ENSG00000106049	ENST00000265395.7	protein_coding	95	0	0		0.778947368421053	772	10	6	2	0.354922279792746	0	0
UGT2B10	ENSG00000109181.12	ENSG00000109181	ENST00000265403.12	protein_coding	26	0	0		0.346153846153846	1144	33	21	2	0.333041958041958	2	17
STAP1	ENSG00000035720.8	ENSG00000035720	ENST00000265404.7	protein_coding	83	0	0		0.433734939759036	980	19	5	2	0.343877551020408	0	0
POLB	ENSG00000070501.12	ENSG00000070501	ENST00000265421.9	protein_coding	131	0	0		0.641221374045801	151	5	3	2	0.364238410596026	0	1
CALB1	ENSG00000104327.7	ENSG00000104327	ENST00000265431.7	protein_coding	182	0	0		0.653846153846154	1565	32	29	2	0.31629392971246	0	13
NBN	ENSG00000104320.14	ENSG00000104320	ENST00000265433.8	protein_coding	106	1	1	1	0.745283018867925	2251	55	49	3	0.338071968014216	0	16
TFEC	ENSG00000105967.16	ENSG00000105967	ENST00000265440.12	protein_coding	203	4	1	3	0.438423645320197	5399	122	117	1	0.305612150398222	1	3
WNT2	ENSG00000105989.10	ENSG00000105989	ENST00000265441.8	protein_coding	69	2	0		0.623188405797102	2704	55	54	2	0.411242603550296	0	3
NRXN2	ENSG00000110076.19	ENSG00000110076	ENST00000265459.11	protein_coding	471	3	2	2	0.785562632696391	1022	4	1	2	0.586105675146771	8	4
PRDX5	ENSG00000126432.14	ENSG00000126432	ENST00000265462.9	protein_coding	95	0	0		0.747368421052632	120	1	0		0.575	0	0
POLA2	ENSG00000014138.9	ENSG00000014138	ENST00000265465.8	protein_coding	331	0	0		0.619335347432024	1416	18	12	1	0.552966101694915	0	16
B3GAT3	ENSG00000149541.10	ENSG00000149541	ENST00000265471.10	protein_coding	39	0	0		0.897435897435897	405	5	0		0.619753086419753	3	0
MGST2	ENSG00000085871.9	ENSG00000085871	ENST00000265498.6	protein_coding	201	0	0		0.512437810945274	95	2	0		0.305263157894737	0	0
ADH4	ENSG00000198099.9	ENSG00000198099	ENST00000265512.12	protein_coding	75	0	0		0.413333333333333	784	31	21	1	0.341836734693878	1	3
