expt.strong_1,expt.moderate_1,expt.moderate_2,expt.weak_1,expt.weak_2,ensgid,enstid_version,enstid
0,0,0,0,0,ENSG00000168924,ENST00000302787.3,ENST00000302787
0.258,0.974,0.502,1.843,1.905,ENSG00000105146,ENST00000302804.12,ENST00000302804
0.256,0.743,0.458,1.264,1.351,ENSG00000168306,ENST00000302819.10,ENST00000302819
0,0,0,0,0,ENSG00000172345,ENST00000302824.7,ENST00000302824
0.249,0.732,0.52,1.517,1.571,ENSG00000171105,ENST00000302850.10,ENST00000302850
0.591,1.912,1.259,3.867,4.255,ENSG00000171469,ENST00000302851.8,ENST00000302851
0,0,0,0,0,ENSG00000168228,ENST00000302874.9,ENST00000302874
0,0,0,0,0,ENSG00000170889,ENST00000302907.9,ENST00000302907
0.227,0.457,0.353,0.718,0.736,ENSG00000171303,ENST00000302909.4,ENST00000302909
0.054,0.129,0.098,0.259,0.267,ENSG00000170925,ENST00000302917.1,ENST00000302917
0.209,0.46,0.709,1.525,1.57,ENSG00000169992,ENST00000302926.7,ENST00000302926
0.083,0.223,0.171,0.442,0.489,ENSG00000170613,ENST00000302938.4,ENST00000302938
0.089,0.238,0.152,0.408,0.424,ENSG00000169840,ENST00000302945.3,ENST00000302945
0.277,0.687,0.507,1.264,1.326,ENSG00000171790,ENST00000302946.13,ENST00000302946
0.135,0.294,0.27,0.575,0.629,ENSG00000169900,ENST00000302964.4,ENST00000302964
0.044,0.283,0.11,0.729,0.778,ENSG00000186184,ENST00000302979.5,ENST00000302979
0.027,0.097,0.049,0.163,0.171,ENSG00000172216,ENST00000303004.5,ENST00000303004
0,0,0,0,0,ENSG00000168928,ENST00000303037.13,ENST00000303037
0.37,1.15,0.88,2.596,2.684,ENSG00000169436,ENST00000303045.11,ENST00000303045
0.564,1.871,1.313,4.069,4.312,ENSG00000169118,ENST00000303052.13,ENST00000303052
0,0,0,0,0,ENSG00000135063,ENST00000303068.14,ENST00000303068
0,0,0,0,0,ENSG00000159147,ENST00000303071.10,ENST00000303071
0.208,0.485,0.356,0.816,0.85,ENSG00000170577,ENST00000303077.7,ENST00000303077
0.438,1.049,0.765,1.846,1.877,ENSG00000064490,ENST00000303088.9,ENST00000303088
0.007,0.015,0.057,0.118,0.125,ENSG00000168685,ENST00000303115.8,ENST00000303115
0,0,0,0,0,ENSG00000169223,ENST00000303127.12,ENST00000303127
0.074,0.169,0.133,0.314,0.334,ENSG00000171984,ENST00000303142.11,ENST00000303142
0.083,0.222,0.182,0.428,0.448,ENSG00000172336,ENST00000303151.5,ENST00000303151
0.128,0.438,0.258,0.872,0.933,ENSG00000170091,ENST00000303177.8,ENST00000303177
0.226,0.652,0.459,1.303,1.348,ENSG00000169230,ENST00000303204.9,ENST00000303204
0.153,0.488,0.382,1.118,1.172,ENSG00000172354,ENST00000303210.9,ENST00000303210
1.097,2.995,2.455,6.609,6.867,ENSG00000171119,ENST00000303212.3,ENST00000303212
0,0,0,0,0,ENSG00000170571,ENST00000303221.10,ENST00000303221
0.088,0.21,0.163,0.392,0.461,ENSG00000171433,ENST00000303227.11,ENST00000303227
0,0,0,0,0,ENSG00000164588,ENST00000303230.6,ENST00000303230
0.112,0.245,0.206,0.441,0.468,ENSG00000172071,ENST00000303236.9,ENST00000303236
0.357,1.006,0.688,1.918,1.966,ENSG00000169228,ENST00000303251.11,ENST00000303251
0.082,0.25,0.142,0.444,0.477,ENSG00000172073,ENST00000303254.4,ENST00000303254
0.465,1.417,0.904,2.722,2.807,ENSG00000110422,ENST00000303296.9,ENST00000303296
0.047,0.14,0.094,0.286,0.303,ENSG00000170515,ENST00000303305.11,ENST00000303305
0.195,0.798,0.401,1.572,1.65,ENSG00000168288,ENST00000303319.10,ENST00000303319
0.03,0.453,0.062,0.861,0.945,ENSG00000168131,ENST00000303324.4,ENST00000303324
0.052,0.16,0.131,0.403,0.407,ENSG00000172379,ENST00000303329.9,ENST00000303329
0.014,0.09,0.032,0.203,0.247,ENSG00000172828,ENST00000303334.9,ENST00000303334
0.18,0.489,0.356,0.941,1.081,ENSG00000168778,ENST00000303372.7,ENST00000303372
0.083,0.266,0.19,0.605,0.668,ENSG00000011028,ENST00000303375.10,ENST00000303375
0.023,0.095,0.035,0.141,0.172,ENSG00000171241,ENST00000303383.8,ENST00000303383
0.312,1.267,0.562,2.256,2.38,ENSG00000169057,ENST00000303391.11,ENST00000303391
0.008,0.051,0.036,0.189,0.213,ENSG00000090316,ENST00000303400.9,ENST00000303400
0.307,0.82,0.513,1.381,1.464,ENSG00000169925,ENST00000303407.12,ENST00000303407
0.026,0.117,0.06,0.239,0.272,ENSG00000089012,ENST00000303415.7,ENST00000303415
0.071,0.243,0.21,0.688,0.729,ENSG00000168374,ENST00000303436.11,ENST00000303436
0,0.196,0,0.437,0.578,ENSG00000180806,ENST00000303450.5,ENST00000303450
0.062,0.227,0.132,0.482,0.493,ENSG00000180818,ENST00000303460.5,ENST00000303460
0.13,0.354,0.259,0.687,0.691,ENSG00000121892,ENST00000303538.13,ENST00000303538
0.083,0.241,0.168,0.491,0.517,ENSG00000170881,ENST00000303545.4,ENST00000303545
0.034,0.298,0.093,0.689,0.744,ENSG00000170345,ENST00000303562.9,ENST00000303562
0,0,0,0,0,ENSG00000170348,ENST00000303575.9,ENST00000303575
0,0,0,0,0,ENSG00000169564,ENST00000303577.7,ENST00000303577
0.053,0.154,0.115,0.315,0.324,ENSG00000168135,ENST00000303592.3,ENST00000303592
0.206,0.455,0.345,0.788,0.806,ENSG00000168286,ENST00000303596.3,ENST00000303596
0,0,0,0,0,ENSG00000171735,ENST00000303635.12,ENST00000303635
0.133,0.435,0.291,0.891,0.971,ENSG00000170262,ENST00000303645.10,ENST00000303645
0.031,0.209,0.072,0.392,0.417,ENSG00000087903,ENST00000303657.10,ENST00000303657
0.357,1.055,0.741,2.122,2.194,ENSG00000171310,ENST00000303694.6,ENST00000303694
0.516,1.227,0.867,2.087,2.198,ENSG00000169604,ENST00000303714.9,ENST00000303714
0,0,0,0,0,ENSG00000172456,ENST00000303721.12,ENST00000303721
0.261,1.268,0.476,2.248,2.395,ENSG00000169789,ENST00000303728.5,ENST00000303728
0,0,0,0,0,ENSG00000170043,ENST00000303731.9,ENST00000303731
0.175,0.428,0.313,0.775,0.798,ENSG00000131650,ENST00000303746.10,ENST00000303746
0.103,0.27,0.198,0.514,0.53,ENSG00000170786,ENST00000303749.8,ENST00000303749
0,0,0,0,0,ENSG00000169800,ENST00000303766.12,ENST00000303766
0.09,0.345,0.125,0.441,0.502,ENSG00000156239,ENST00000303775.10,ENST00000303775
1.023,2.787,1.83,4.901,5.226,ENSG00000169618,ENST00000303786.5,ENST00000303786
0.135,0.484,0.428,1.521,1.551,ENSG00000170049,ENST00000303790.3,ENST00000303790
0.075,0.169,0.143,0.332,0.338,ENSG00000169621,ENST00000303795.9,ENST00000303795
0.246,1.247,0.458,2.255,2.406,ENSG00000169807,ENST00000303804.5,ENST00000303804
0,0,0,0,0,ENSG00000170684,ENST00000303809.7,ENST00000303809
0.038,0.115,0.084,0.258,0.285,ENSG00000166508,ENST00000303887.10,ENST00000303887
0.104,0.35,0.199,0.673,0.776,ENSG00000213760,ENST00000303892.10,ENST00000303892
0,0,0,0,0,ENSG00000168090,ENST00000303904.8,ENST00000303904
0.999,2.926,1.995,5.858,6.083,ENSG00000170775,ENST00000303921.3,ENST00000303921
0.575,2.15,1,3.75,3.903,ENSG00000170961,ENST00000303924.5,ENST00000303924
0,0,0,0,0,ENSG00000170955,ENST00000303927.4,ENST00000303927
0.031,0.058,0.05,0.098,0.104,ENSG00000170209,ENST00000303941.4,ENST00000303941
0.686,1.596,1.263,2.869,2.989,ENSG00000269858,ENST00000303961.9,ENST00000303961
0.316,1.105,0.584,1.979,2.019,ENSG00000047365,ENST00000303965.9,ENST00000303965
0.218,0.556,0.385,0.957,0.972,ENSG00000169258,ENST00000303991.5,ENST00000303991
0,0,0,0,0,ENSG00000118960,ENST00000304031.8,ENST00000304031
0.187,0.464,0.41,0.946,0.953,ENSG00000157985,ENST00000304032.13,ENST00000304032
0,0,0,0,0,ENSG00000169567,ENST00000304043.10,ENST00000304043
0.118,0.36,0.217,0.641,0.668,ENSG00000172057,ENST00000304046.7,ENST00000304046
1.307,4.015,2.462,7.376,7.922,ENSG00000170852,ENST00000304056.9,ENST00000304056
0.048,0.241,0.127,0.544,0.561,ENSG00000171295,ENST00000304060.10,ENST00000304060
0.091,0.204,0.146,0.377,0.428,ENSG00000170468,ENST00000304061.8,ENST00000304061
0.175,0.702,0.342,1.489,1.61,ENSG00000168993,ENST00000304062.11,ENST00000304062
0.12,0.55,0.214,1.037,1.127,ENSG00000172243,ENST00000304084.13,ENST00000304084
0.76,2.564,1.56,5.29,5.694,ENSG00000170745,ENST00000304101.9,ENST00000304101
0.057,0.234,0.095,0.365,0.387,ENSG00000196357,ENST00000304116.10,ENST00000304116
0,0,0,0,0,ENSG00000169129,ENST00000304129.9,ENST00000304129
0.033,0.271,0.075,0.635,0.648,ENSG00000168497,ENST00000304141.5,ENST00000304141
0.173,0.513,0.336,1.013,1.02,ENSG00000078549,ENST00000304166.9,ENST00000304166
0,0,0,0,0,ENSG00000169609,ENST00000304177.10,ENST00000304177
0.352,0.909,0.693,1.803,1.936,ENSG00000169612,ENST00000304191.4,ENST00000304191
0.152,0.658,0.287,1.332,1.375,ENSG00000172159,ENST00000304195.8,ENST00000304195
0.011,0.068,0.04,0.246,0.265,ENSG00000168298,ENST00000304218.6,ENST00000304218
0.154,0.313,0.276,0.589,0.672,ENSG00000170425,ENST00000304222.3,ENST00000304222
1.165,3.715,2.132,6.461,7,ENSG00000172476,ENST00000304236.2,ENST00000304236
0.063,0.266,0.127,0.505,0.583,ENSG00000170128,ENST00000304244.5,ENST00000304244
0.173,0.387,0.311,0.671,0.76,ENSG00000171478,ENST00000304270.6,ENST00000304270
0.52,1.513,1.063,3.123,3.273,ENSG00000171067,ENST00000304271.11,ENST00000304271
0.675,1.668,1.305,3.196,3.371,ENSG00000168096,ENST00000304283.9,ENST00000304283
0.164,0.377,0.369,0.85,0.901,ENSG00000170276,ENST00000304298.4,ENST00000304298
0,0,0,0,0,ENSG00000169020,ENST00000304312.5,ENST00000304312
0.446,1.244,0.679,1.867,2.035,ENSG00000103932,ENST00000304330.9,ENST00000304330
1.303,4.936,2.48,9.181,9.673,ENSG00000169989,ENST00000304337.3,ENST00000304337
0.08,0.201,0.16,0.4,0.407,ENSG00000119698,ENST00000304338.8,ENST00000304338
0.161,0.79,0.396,1.832,1.897,ENSG00000172322,ENST00000304361.9,ENST00000304361
0.763,1.656,1.417,2.964,3.223,ENSG00000110066,ENST00000304363.9,ENST00000304363
0,0,0,0,0,ENSG00000168676,ENST00000304372.6,ENST00000304372
0.324,1.023,0.685,2.121,2.221,ENSG00000169676,ENST00000304374.4,ENST00000304374
0.202,0.423,0.339,0.714,0.801,ENSG00000170537,ENST00000304381.10,ENST00000304381
0.031,0.155,0.056,0.298,0.354,ENSG00000170006,ENST00000304385.8,ENST00000304385
2.428,13.735,4.511,24.89,26.974,ENSG00000172209,ENST00000304402.6,ENST00000304402
0.292,0.606,0.463,0.974,1.054,ENSG00000170837,ENST00000304411.3,ENST00000304411
0.096,0.259,0.175,0.45,0.479,ENSG00000170540,ENST00000304414.12,ENST00000304414
0.219,0.973,0.459,1.951,2.074,ENSG00000169327,ENST00000304418.5,ENST00000304418
0.047,0.129,0.07,0.189,0.249,ENSG00000170917,ENST00000304430.10,ENST00000304430
0.046,0.194,0.14,0.575,0.583,ENSG00000012660,ENST00000304434.11,ENST00000304434
0,0,0,0,0,ENSG00000174358,ENST00000304460.11,ENST00000304460
0.044,0.113,0.113,0.277,0.368,ENSG00000171794,ENST00000304477.3,ENST00000304477
0,0,0,0,0,ENSG00000171861,ENST00000304478.9,ENST00000304478
0,0,0,0,0,ENSG00000147889,ENST00000304494.10,ENST00000304494
0,0,0,0,0,ENSG00000171056,ENST00000304501.2,ENST00000304501
0,0.261,0,0.615,0.764,ENSG00000168582,ENST00000304502.5,ENST00000304502
0,0,0,0,0,ENSG00000169194,ENST00000304506.7,ENST00000304506
0.274,0.901,0.433,1.405,1.528,ENSG00000171202,ENST00000304511.7,ENST00000304511
0.062,0.162,0.161,0.347,0.448,ENSG00000171060,ENST00000304519.10,ENST00000304519
0.075,0.8,0.161,1.784,1.956,ENSG00000169744,ENST00000304523.10,ENST00000304523
0,0.29,0,0.681,0.807,ENSG00000172410,ENST00000304526.3,ENST00000304526
0.323,1.984,0.658,3.972,4.263,ENSG00000005889,ENST00000304543.10,ENST00000304543
0.155,0.432,0.306,0.838,0.89,ENSG00000171551,ENST00000304546.6,ENST00000304546
0.174,0.835,0.319,1.563,1.752,ENSG00000172215,ENST00000304552.5,ENST00000304552
0,0,0,0,0,ENSG00000171848,ENST00000304567.10,ENST00000304567
0.053,0.124,0.085,0.244,0.291,ENSG00000168955,ENST00000304568.4,ENST00000304568
0.506,1.59,1.037,3.128,3.318,ENSG00000168958,ENST00000304593.14,ENST00000304593
0,0,0,0,0,ENSG00000124587,ENST00000304611.13,ENST00000304611
0.11,0.31,0.245,0.637,0.669,ENSG00000171798,ENST00000304613.8,ENST00000304613
0,0.179,0,0.428,0.5,ENSG00000170423,ENST00000304620.5,ENST00000304620
0.174,0.435,0.311,0.817,0.824,ENSG00000169862,ENST00000304623.13,ENST00000304623
0.039,0.126,0.084,0.223,0.249,ENSG00000169385,ENST00000304625.3,ENST00000304625
0.213,0.634,0.443,1.341,1.449,ENSG00000168542,ENST00000304636.9,ENST00000304636
0.061,0.207,0.114,0.399,0.431,ENSG00000169397,ENST00000304639.4,ENST00000304639
0.72,1.622,1.45,3.191,3.341,ENSG00000169180,ENST00000304658.10,ENST00000304658
0,0,0,0,0,ENSG00000171155,ENST00000304661.6,ENST00000304661
0,0,0,0,0,ENSG00000171611,ENST00000304672.6,ENST00000304672
0.016,0.115,0.029,0.237,0.265,ENSG00000169413,ENST00000304677.3,ENST00000304677
0.209,0.739,0.43,1.422,1.528,ENSG00000144369,ENST00000304698.10,ENST00000304698
0.012,0.089,0.048,0.293,0.307,ENSG00000170367,ENST00000304710.5,ENST00000304710
0.064,0.308,0.141,0.686,0.739,ENSG00000171459,ENST00000304720.3,ENST00000304720
0.014,0.088,0.045,0.262,0.285,ENSG00000170369,ENST00000304725.3,ENST00000304725
0,0,0,0,0,ENSG00000168140,ENST00000304735.4,ENST00000304735
0.152,0.296,0.254,0.542,0.545,ENSG00000100731,ENST00000304743.7,ENST00000304743
0,0,0,0,0,ENSG00000171051,ENST00000304748.5,ENST00000304748
0,0,0,0,0,ENSG00000170373,ENST00000304749.7,ENST00000304749
0.081,0.193,0.166,0.385,0.39,ENSG00000169291,ENST00000304760.3,ENST00000304760
0.713,1.98,1.31,3.613,3.72,ENSG00000171533,ENST00000304771.8,ENST00000304771
0.042,0.102,0.097,0.231,0.24,ENSG00000143742,ENST00000304786.12,ENST00000304786
0.056,0.165,0.104,0.309,0.324,ENSG00000170191,ENST00000304788.4,ENST00000304788
0.283,1.708,0.478,2.934,3.395,ENSG00000169953,ENST00000304790.3,ENST00000304790
0.195,0.653,0.452,1.481,1.625,ENSG00000168701,ENST00000304800.14,ENST00000304800
0.062,0.333,0.115,0.682,0.753,ENSG00000170950,ENST00000304801.6,ENST00000304801
0,0,0,0,0,ENSG00000171481,ENST00000304820.5,ENST00000304820
0.829,2.222,1.554,4.152,4.539,ENSG00000169902,ENST00000304842.6,ENST00000304842
0.027,0.114,0.065,0.266,0.272,ENSG00000170606,ENST00000304858.7,ENST00000304858
0,0,0,0,0,ENSG00000169021,ENST00000304863.6,ENST00000304863
0.05,0.165,0.088,0.287,0.314,ENSG00000126522,ENST00000304874.14,ENST00000304874
0,0,0,0,0,ENSG00000171505,ENST00000304880.2,ENST00000304880
0.398,1.443,0.816,2.976,3.167,ENSG00000169836,ENST00000304883.3,ENST00000304883
0.102,0.533,0.175,0.93,1.003,ENSG00000171195,ENST00000304887.6,ENST00000304887
0,0,0,0,0,ENSG00000169919,ENST00000304895.9,ENST00000304895
0.499,1.865,1.114,4.118,4.427,ENSG00000172123,ENST00000304905.10,ENST00000304905
0.079,0.461,0.155,0.877,0.982,ENSG00000171201,ENST00000304915.8,ENST00000304915
0.371,1.153,0.829,2.547,2.602,ENSG00000168672,ENST00000304916.4,ENST00000304916
0,0.575,0,1.028,1.115,ENSG00000168158,ENST00000304936.4,ENST00000304936
0.118,0.27,0.244,0.531,0.546,ENSG00000188290,ENST00000304952.11,ENST00000304952
0,0,0,0,0,ENSG00000171960,ENST00000304979.8,ENST00000304979
0,0,0,0,0,ENSG00000170145,ENST00000304987.4,ENST00000304987
0.251,0.624,0.463,1.165,1.365,ENSG00000174231,ENST00000304992.11,ENST00000304992
0,0,0,0,0,ENSG00000198108,ENST00000305031.5,ENST00000305031
0.12,0.581,0.175,0.879,0.969,ENSG00000196616,ENST00000305046.13,ENST00000305046
0,0,0,0,0,ENSG00000169488,ENST00000305051.6,ENST00000305051
0.048,0.388,0.092,0.727,0.818,ENSG00000172023,ENST00000305089.8,ENST00000305089
0.524,1.762,1.077,3.488,3.609,ENSG00000169860,ENST00000305097.6,ENST00000305097
0.687,1.591,1.283,2.899,3.062,ENSG00000170619,ENST00000305103.4,ENST00000305103
0,0,0,0,0,ENSG00000106400,ENST00000305105.3,ENST00000305105
0.2,0.727,0.286,0.985,1.195,ENSG00000156096,ENST00000305107.7,ENST00000305107
0,0,0,0,0,ENSG00000171840,ENST00000305108.10,ENST00000305108
1.082,2.728,2.134,5.399,5.547,ENSG00000169047,ENST00000305123.6,ENST00000305123
0.16,0.559,0.2,0.686,0.716,ENSG00000172020,ENST00000305124.11,ENST00000305124
0.149,0.439,0.319,0.859,0.88,ENSG00000163872,ENST00000305135.10,ENST00000305135
0.083,0.332,0.174,0.634,0.686,ENSG00000167165,ENST00000305139.11,ENST00000305139
0,0,0,0,0,ENSG00000171596,ENST00000305141.5,ENST00000305141
0,0.382,0,0.859,1.007,ENSG00000172016,ENST00000305165.3,ENST00000305165
0.136,0.345,0.195,0.533,0.566,ENSG00000171320,ENST00000305188.13,ENST00000305188
0.09,0.176,0.156,0.323,0.33,ENSG00000103154,ENST00000305202.9,ENST00000305202
0,0,0,0,0,ENSG00000241635,ENST00000305208.10,ENST00000305208
0.066,0.191,0.119,0.327,0.36,ENSG00000168439,ENST00000305218.9,ENST00000305218
0.161,0.593,0.229,0.829,0.924,ENSG00000171234,ENST00000305231.12,ENST00000305231
0,0,0,0,0,ENSG00000171813,ENST00000305233.6,ENST00000305233
0.324,0.917,0.558,1.602,1.805,ENSG00000169126,ENST00000305242.10,ENST00000305242
0.655,2.278,1.204,4.207,4.353,ENSG00000115353,ENST00000305249.10,ENST00000305249
0,0,0,0,0,ENSG00000171720,ENST00000305264.8,ENST00000305264
0.137,0.593,0.269,1.097,1.186,ENSG00000172421,ENST00000305286.8,ENST00000305286
0.47,1.793,0.861,3.238,3.362,ENSG00000168830,ENST00000305344.7,ENST00000305344
0.134,0.474,0.257,0.916,0.96,ENSG00000170989,ENST00000305352.7,ENST00000305352
0.302,1.231,0.529,2.241,2.474,ENSG00000169903,ENST00000305354.5,ENST00000305354
0.056,0.185,0.182,0.491,0.603,ENSG00000087128,ENST00000305363.9,ENST00000305363
0,0,0,0,0,ENSG00000104228,ENST00000305364.9,ENST00000305364
0.173,0.419,0.303,0.73,0.789,ENSG00000169908,ENST00000305366.8,ENST00000305366
0.484,1.552,0.921,2.88,2.971,ENSG00000168282,ENST00000305386.4,ENST00000305386
0.319,0.844,0.483,1.319,1.432,ENSG00000171951,ENST00000305409.3,ENST00000305409
0.397,1.118,0.707,1.955,2.076,ENSG00000169330,ENST00000305428.8,ENST00000305428
0,0,0,0,0,ENSG00000170920,ENST00000305444.2,ENST00000305444
0.647,2.694,1.379,5.66,6.002,ENSG00000168959,ENST00000305447.5,ENST00000305447
0.098,0.236,0.171,0.403,0.434,ENSG00000169085,ENST00000305454.8,ENST00000305454
0.224,0.465,0.332,0.707,0.714,ENSG00000168758,ENST00000305476.10,ENST00000305476
0.009,0.042,0.041,0.164,0.176,ENSG00000168634,ENST00000305479.3,ENST00000305479
0.034,0.086,0.082,0.241,0.279,ENSG00000166575,ENST00000305494.6,ENST00000305494
0,0,0,0,0,ENSG00000168763,ENST00000305510.4,ENST00000305510
0.166,0.384,0.281,0.667,0.714,ENSG00000186532,ENST00000305513.12,ENST00000305513
0.039,0.124,0.074,0.248,0.25,ENSG00000247596,ENST00000305533.10,ENST00000305533
0.022,0.174,0.05,0.357,0.368,ENSG00000134597,ENST00000305536.11,ENST00000305536
0.081,0.185,0.127,0.303,0.308,ENSG00000172037,ENST00000305544.9,ENST00000305544
0.092,0.28,0.259,0.732,1.001,ENSG00000171763,ENST00000305560.11,ENST00000305560
0.29,0.831,0.479,1.412,1.497,ENSG00000168811,ENST00000305579.7,ENST00000305579
0.102,0.308,0.252,0.808,0.858,ENSG00000169217,ENST00000305596.8,ENST00000305596
0.006,0.065,0.023,0.196,0.234,ENSG00000170484,ENST00000305620.3,ENST00000305620
0.036,0.079,0.1,0.213,0.214,ENSG00000172007,ENST00000305626.6,ENST00000305626
0,0,0,0,0,ENSG00000168350,ENST00000305631.7,ENST00000305631
0,0,0,0,0,ENSG00000106638,ENST00000305632.11,ENST00000305632
0.054,0.192,0.13,0.43,0.448,ENSG00000168806,ENST00000305641.7,ENST00000305641
0,0,0,0,0,ENSG00000171053,ENST00000305738.10,ENST00000305738
0.137,0.297,0.214,0.471,0.478,ENSG00000172292,ENST00000305747.11,ENST00000305747
0.009,0.024,0.092,0.186,0.206,ENSG00000186049,ENST00000305748.7,ENST00000305748
0.288,0.707,0.59,1.417,1.547,ENSG00000121289,ENST00000305768.10,ENST00000305768
0.117,0.317,0.195,0.539,0.575,ENSG00000189050,ENST00000305783.13,ENST00000305783
0,0,0,0,0,ENSG00000168393,ENST00000305784.7,ENST00000305784
0.091,0.309,0.152,0.492,0.564,ENSG00000172115,ENST00000305786.7,ENST00000305786
0.093,0.302,0.219,0.67,0.7,ENSG00000168785,ENST00000305798.8,ENST00000305798
0.785,2.835,1.508,5.279,6.002,ENSG00000172139,ENST00000305815.10,ENST00000305815
0,0,0,0,0,ENSG00000171864,ENST00000305817.3,ENST00000305817
0.109,0.376,0.161,0.554,0.58,ENSG00000166451,ENST00000305850.10,ENST00000305850
0.156,0.526,0.354,1.157,1.241,ENSG00000004766,ENST00000305866.10,ENST00000305866
0,0,0,0,0,ENSG00000172156,ENST00000305869.4,ENST00000305869
0.319,0.912,0.57,1.583,1.608,ENSG00000186716,ENST00000305877.13,ENST00000305877
0.154,0.463,0.3,0.862,0.91,ENSG00000170627,ENST00000305879.8,ENST00000305879
0,0,0,0,0,ENSG00000172059,ENST00000305883.6,ENST00000305883
0.044,0.19,0.079,0.332,0.345,ENSG00000168496,ENST00000305885.3,ENST00000305885
0,0,0,0,0,ENSG00000171942,ENST00000305899.5,ENST00000305899
0.778,2.287,1.258,3.627,3.79,ENSG00000169856,ENST00000305901.7,ENST00000305901
0.044,0.127,0.092,0.279,0.285,ENSG00000168589,ENST00000305904.11,ENST00000305904
0.162,0.498,0.371,1.139,1.217,ENSG00000170836,ENST00000305921.8,ENST00000305921
0,0,0,0,0,ENSG00000168159,ENST00000305943.9,ENST00000305943
0.224,0.564,0.356,0.884,0.946,ENSG00000172167,ENST00000305949.6,ENST00000305949
0,0,0,0,0,ENSG00000088826,ENST00000305958.9,ENST00000305958
0.072,0.286,0.216,0.786,0.805,ENSG00000169446,ENST00000305963.3,ENST00000305963
0,0,0,0,0,ENSG00000171222,ENST00000305978.7,ENST00000305978
0.048,0.274,0.118,0.556,0.567,ENSG00000169252,ENST00000305988.6,ENST00000305988
0.202,0.756,0.367,1.262,1.353,ENSG00000170290,ENST00000305991.3,ENST00000305991
0,0,0,0,0,ENSG00000143797,ENST00000305997.8,ENST00000305997
0.273,0.933,0.472,1.609,1.7,ENSG00000172238,ENST00000306011.6,ENST00000306011
0,0,0,0,0,ENSG00000123064,ENST00000306014.10,ENST00000306014
0,0,0,0,0,ENSG00000170860,ENST00000306024.4,ENST00000306024
0,0,0,0,0,ENSG00000168229,ENST00000306051.3,ENST00000306051
0.205,0.432,0.31,0.652,0.658,ENSG00000157193,ENST00000306052.12,ENST00000306052
0.542,1.611,1,2.796,3.185,ENSG00000105186,ENST00000306065.9,ENST00000306065
0,0,0,0,0,ENSG00000170175,ENST00000306071.7,ENST00000306071
0.083,0.358,0.133,0.534,0.557,ENSG00000172183,ENST00000306072.10,ENST00000306072
0.038,0.143,0.073,0.264,0.271,ENSG00000170876,ENST00000306077.5,ENST00000306077
0.208,0.509,0.39,0.969,0.998,ENSG00000171126,ENST00000306078.2,ENST00000306078
0.155,0.492,0.287,0.912,0.943,ENSG00000169871,ENST00000306085.11,ENST00000306085
0.416,1.184,0.82,2.267,2.349,ENSG00000168875,ENST00000306087.3,ENST00000306087
0.5,2.013,1.072,4.195,4.477,ENSG00000168843,ENST00000306100.10,ENST00000306100
0,0,0,0,0,ENSG00000169087,ENST00000306103.3,ENST00000306103
0.807,2.645,1.583,4.939,5.234,ENSG00000170017,ENST00000306107.9,ENST00000306107
0,0,0,0,0,ENSG00000171103,ENST00000306108.10,ENST00000306108
0,0,0,0,0,ENSG00000162627,ENST00000306121.8,ENST00000306121
0,0,0,0,0,ENSG00000172053,ENST00000306125.12,ENST00000306125
0.175,0.615,0.342,1.19,1.207,ENSG00000172346,ENST00000306149.12,ENST00000306149
0.053,0.173,0.094,0.333,0.355,ENSG00000169876,ENST00000306151.9,ENST00000306151
0.466,1.211,0.855,2.305,2.363,ENSG00000171132,ENST00000306156.8,ENST00000306156
0.248,0.627,0.419,1.025,1.199,ENSG00000106346,ENST00000306177.10,ENST00000306177
0.072,0.196,0.095,0.295,0.315,ENSG00000172172,ENST00000306185.8,ENST00000306185
0.037,0.117,0.095,0.304,0.324,ENSG00000145439,ENST00000306193.8,ENST00000306193
0,0,0,0,0,ENSG00000168818,ENST00000306200.7,ENST00000306200
0.086,0.283,0.171,0.517,0.572,ENSG00000168515,ENST00000306238.3,ENST00000306238
0.043,0.101,0.095,0.266,0.269,ENSG00000169105,ENST00000306243.7,ENST00000306243
0,0,0,0,0,ENSG00000168269,ENST00000306268.8,ENST00000306268
1.122,3.899,2.476,8.325,9.025,ENSG00000005700,ENST00000306270.12,ENST00000306270
0,0.095,0,0.248,0.283,ENSG00000188581,ENST00000306271.5,ENST00000306271
0.1,0.242,0.171,0.394,0.411,ENSG00000168874,ENST00000306279.4,ENST00000306279
0.153,0.427,0.35,0.958,0.989,ENSG00000168476,ENST00000306306.8,ENST00000306306
0.374,1.144,0.752,2.363,2.505,ENSG00000170615,ENST00000306312.8,ENST00000306312
0.179,0.406,0.302,0.691,0.728,ENSG00000168481,ENST00000306317.7,ENST00000306317
0.084,0.202,0.186,0.439,0.463,ENSG00000168505,ENST00000306318.5,ENST00000306318
0,0,0,0,0,ENSG00000154153,ENST00000306320.10,ENST00000306320
0.093,0.37,0.158,0.595,0.659,ENSG00000170166,ENST00000306324.4,ENST00000306324
0,0,0,0,0,ENSG00000168887,ENST00000306336.6,ENST00000306336
0,0,0,0,0,ENSG00000168487,ENST00000306349.13,ENST00000306349
0,0,0,0,0,ENSG00000170310,ENST00000306357.9,ENST00000306357
0,0,0,0,0,ENSG00000168894,ENST00000306368.9,ENST00000306368
0.154,0.581,0.321,1.141,1.199,ENSG00000244405,ENST00000306376.10,ENST00000306376
0.087,0.236,0.197,0.568,0.6,ENSG00000171634,ENST00000306378.11,ENST00000306378
